If it takes a long time, calibrate the PID of the extruder and bed;Uzun sürüyorsa, ekstrüder ve yatağın PID'ini kalibre edin
Temperature normalization completed;Sıcaklık normalleşmesi tamamlandı
Don't remove the filament after printing is completed;Yazdırma tamamlandıktan sonra filamentleri çıkarma
Remove filament after printing is complete;Yazdırma tamamlandıktan sonra filamentleri çıkar
Is the alternate screen taking a long time to load? Reduce the default screen's load time.;Alternatif ekran uzun mu sürüyor? Standart ekranın yüklenme süresini azaltın.
Tired of problems with WiFi, let zmod manage it.;WiFi sorunlarından sıkıldınız mı? zmod'un yönetmesine izin verin.
Incorrect start code START_PRINT EXTRUDER_TEMP BED_TEMP must be written in one line !!;Hatalı başlangıç kodu START_PRINT EXTRUDER_TEMP BED_TEMP tek satırda yazılmalıdır !!
Don't forget to turn off the camera on your printer's native screen.;Yazıcınızın yerel ekranındaki kamerayı kapatmayı unutmayın.
START_PRINT has finished its work.;START_PRINT işini tamamladı.
Incorrect MCU version. Need run UPDATE_MCU FORCE=13;Hatalı MCU sürümü. UPDATE_MCU FORCE=13 komutunu çalıştırmanız gerekiyor.
Incorrect ZLINK data. Register your printer on the http://zlink.info and receive a ZLINK string.;Hatalı ZLINK verisi. Yazıcınızı http://zlink.info adresinde kaydedin ve bir ZLINK dizesi alın.
Use LOAD_ZOFFSET_NATIVE to copy the Z-Offset from the native screen.;Z-Offset'ı yerel ekrandan kopyalamak için LOAD_ZOFFSET_NATIVE kullanın.
Turn on NOZZLE_CONTROL to control the nozzle impact on the table;Nozulun masaya çarpmasını kontrol etmek için NOZZLE_CONTROL'ü açın
Loading a similar rod from coil;Bobinden benzer bir çubuk yükleniyor
Use SAVE_ZMOD_DATA MESH_TEST=2 to automatically launch KAMP if an error occurs;Hata oluşursa KAMP'ı otomatik başlatmak için SAVE_ZMOD_DATA MESH_TEST=2 kullanın
If any parameters were changed, it is recommended to reboot the printer;Herhangi bir parametre değiştirildiyse, yazıcıyı yeniden başlatmanız önerilir
Initial setting;Başlangıç ayarı
You can browse and change global parameters if necessary. https://wiki.zmod.link/Global/;Gerekirse genel parametreleri görüntüleyip değiştirebilirsiniz. https://wiki.zmod.link/Global/
Enable the recommendations plugin? It allows you to configure basic settings with one click.;Öneri eklentisini etkinleştir? Temel ayarları tek tıklamayla yapılandırmanızı sağlar.
Next;Sonraki
Z-Offset loaded from native screen;Z-Offset yerel ekrandan yüklendi
Did you know that you can access your printer remotely using zmod.link?;Yazıcınıza zmod.link kullanarak uzaktan erişebileceğinizi biliyor muydunuz?
Do not save the state of filament sensors;Filament sensörlerinin durumunu kaydetme
Save the state of filament sensors;Filament sensörlerinin durumunu kaydet
Z-Offset saved in global settings;Z-Offset genel ayarlara kaydedildi
Z-Offset saved in the native screen;Z-Offset yerel ekrana kaydedildi
Setting Z-Offset {zoffset};Z-Offset {zoffset} ayarlanıyor
Using global Z-Offset control. Z_OFFSET parameter ignored;Genel Z-Offset kontrolü kullanılıyor. Z_OFFSET parametresi yok sayılıyor
Z-Offset setup skipped;Z-Offset kurulumu atlandı
The printer has started printing the file;Yazıcı dosyayı yazdırmaya başladı
The printer has finished printing the file;Yazıcı dosyayı yazdırmayı bitirdi
Error;Hata
Printing canceled;Yazdırma iptal edildi
Pause;Duraklat
Resume printing;Yazdırmaya devam et
Moving the bed down 5 mm;Yatağı 5 mm aşağı hareket ettirme
Start printer;Yazıcı açık
Native Screen;Yerel Ekran
Loading a similar rod for the tool;Alet için benzer bir filament yükleniyor
this cleanup macro does NOT exist. LINE_PURGE is used;bu temizleme makrosu mevcut DEĞİL. LINE_PURGE kullanılıyor
Available macros;Kullanılabilir Makrolar
Add the {macro_name|upper} macro to mod_data/user.cfg or disable the use of the cleanup line // SAVE_ZMOD_DATA DISABLE_PRIMING=1;mod_data/user.cfg'ye {macro_name|upper} makrosunu ekleyin veya temizleme hattı kullanımını devre dışı bırakın // SAVE_ZMOD_DATA DISABLE_PRIMING=1
Pause: Restore: {restore}, Temp: {temp}/{heater_bed_temp};Duraklat: Geri Yükle: {restore}, Sıcaklık: {temp}/{heater_bed_temp}
Resume: Restore: {last_extruder_temp.restore}, Temp: {last_extruder_temp.temp}/{last_extruder_temp.heater_bed_temp}, Status: {printer.idle_timeout.state | upper};Devam Et: Geri Yükle: {last_extruder_temp.restore}, Sıcaklık: {last_extruder_temp.temp}/{last_extruder_temp.heater_bed_temp}, Durum: {printer.idle_timeout.state | upper}
WARNING: Last probe MORE saved by %.4f mm!;UYARI: Son prob kaydedilmiş değeri %.4f mm AŞIYOR!
Use SAVE_ZMOD_DATA MESH_TEST=%d to automatically launch KAMP if an error occurs;Hata oluşursa KAMP'ı otomatik başlatmak için SAVE_ZMOD_DATA MESH_TEST=%d kullanın
AutoZOffset: on // See https://wiki.zmod.link/Global/ mesh_test;AutoZOffset: açık // See https://wiki.zmod.link/Global/ mesh_test
AutoZOffset: off // See https://wiki.zmod.link/Global/ mesh_test;AutoZOffset: kapalı // See https://wiki.zmod.link/Global/ mesh_test
Photo;Foto
There will be a SCHEDULED reboot now;Şimdi PLANLANAN bir yeniden başlatma gerçekleşecek
Parameters used in color selection menu;Renk seçim menüsünde kullanılan parametreler
Show {allowed_tool_count} colors;{allowed_tool_count} rengi göster
Show {allowed_tool_count} colors when file colors cannot be scanned;Dosya renkleri taranamadığında {allowed_tool_count} rengi göster
Don't scan files for color / material data;Renk / malzeme verisi için dosyaları tarama
Check files for pre-prepared color / material data only;Dosyaları yalnızca önceden hazırlanmış renk / malzeme verisi için kontrol et
Scan files for color / material data;Renk / malzeme verisi için dosyaları tara
Do not auto-assign colors;Renkleri otomatik atama
Auto-assign colors if file colors successfully scanned;Dosya renkleri başarıyla tarandıysa renkleri otomatik ata
Auto-assign colors if file colors successfully scanned, halt silent mode print on serious auto-assignment errors;Başarıyla tarandıysa otomatik ata, ciddi atama hatalarında sessiz mod yazımını durdur
Auto-assign colors if file colors successfully scanned, halt silent mode print on any auto-assignment errors;Başarıyla tarandıysa otomatik ata, tüm atama hatalarında sessiz mod yazımını durdur
Auto-assign colors if file colors successfully scanned, halt silent mode print on some auto-assignment errors;Başarıyla tarandıysa otomatik ata, bazı atama hatalarında sessiz mod yazımını durdur
Display zero-based tool indexes (T0, T1, etc);Sıfır tabanlı araç dizinlerini görüntüle (T0, T1, vb.)
Display one-based tool indexes (Color 1, Color 2, etc);Bir tabanlı araç dizinlerini görüntüle (Color 1, Color 2, vb.)
Skip color change process if old and new color are the same physical IFS channel;Eski ve yeni renk aynı fiziksel IFS kanalıysa renk değiştirme işlemini atla
Do not skip color change process when old and new color are the same physical IFS channel;Eski ve yeni renk aynı fiziksel IFS kanalı olduğunda renk değiştirme işlemini atlama
Don't scan files for color data;Renk verisi için dosyaları tarama
Load pre-prepared color data only;Yalnızca önceden hazırlanmış renk verilerini yükle
Scan files for color data;Renk verisi için dosyaları tara
Auto-assign colors, silent mode halts on any error;Renkleri otomatik ata, sessiz mod herhangi bir hatada durur
Auto-assign colors, silent mode halts on major error;Renkleri otomatik ata, sessiz mod büyük hatalarda durur
Auto-assign colors;Renkleri otomatik ata
Auto-assign colors, silent mode halts on some errors;Renkleri otomatik ata, sessiz mod bazı hatalarda durur
unknown value:;bilinmeyen değer:
Unrecognized value for setting:;Ayar için tanınmayan değer:
custom value:;özel değer:
